split	genre	dataset	year	sid	score	sentence1	sentence2	
tog	hovedtekster	MSRvid	2012 test	1	5.000	Et fly tar av.	Et fly tar av.	
tog	hovedtekster	MSRvid	2012 test	4	3.800	En mann spiller en stor fløyte.	En mann spiller på fløyte.	
tog	hovedtekster	MSRvid	2012 test	5	3.800	En mann sprer revet ost på en pizza.	En mann sprer revet ost på en ukokt pizza.	
tog	hovedtekster	MSRvid	2012 test	6	2.600	Tre menn spiller sjakk.	To menn spiller sjakk.	
tog	hovedtekster	MSRvid	2012 test	9	4.250	En mann spiller cello.	En sittende mann spiller cello.	
tog	hovedtekster	MSRvid	2012 test	11	4.250	Noen menn slåss.	To menn slåss.	
tog	hovedtekster	MSRvid	2012 test	12	0,500	En mann røyker.	En mann går på skøyter.	
tog	hovedtekster	MSRvid	2012 test	13	1.600	Mannen spiller piano.	Mannen spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	14	2.200	En mann spiller på en gitar og synger.	En kvinne spiller akustisk gitar og synger.	
tog	hovedtekster	MSRvid	2012 test	16	5.000	En person kaster en katt i taket.	En person kaster en katt i taket.	
tog	hovedtekster	MSRvid	2012 test	17	4.200	Mannen slo den andre mannen med en kjepp.	Mannen slo den andre mannen med en kjepp.	
tog	hovedtekster	MSRvid	2012 test	18	4.600	En kvinne tar opp og holder en kenguruunge.	En kvinne tar opp og holder en kenguruunge i armene.	
tog	hovedtekster	MSRvid	2012 test	19	3.867	En mann spiller på fløyte.	En mann spiller en bambusfløyte.	
tog	hovedtekster	MSRvid	2012 test	20	4.667	En person bretter et stykke papir.	Noen bretter et stykke papir.	
tog	hovedtekster	MSRvid	2012 test	21	1,667	En mann løper på veien.	En pandahund løper på veien.	
tog	hovedtekster	MSRvid	2012 test	22	3.750	En hund prøver å få bacon av ryggen.	En hund prøver å spise baconet på ryggen.	
tog	hovedtekster	MSRvid	2012 test	25	5.000	Isbjørnen glir på snøen.	En isbjørn glir over snøen.	
tog	hovedtekster	MSRvid	2012 test	26	0,500	En kvinne skriver.	En kvinne svømmer.	
tog	hovedtekster	MSRvid	2012 test	28	3.800	En katt gnir seg mot babyens ansikt.	En katt gnir seg mot en baby.	
tog	hovedtekster	MSRvid	2012 test	29	5.000	Mannen rir på en hest.	En mann rir på en hest.	
tog	hovedtekster	MSRvid	2012 test	30	3.200	En mann heller olje i en gryte.	En mann heller vin i en kjele.	
tog	hovedtekster	MSRvid	2012 test	31	2.800	En mann spiller gitar.	En jente spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	32	4.600	En panda sklir ned en skli.	En panda sklir ned en skli.	
tog	hovedtekster	MSRvid	2012 test	34	3.000	En kvinne spiser noe.	En kvinne spiser kjøtt.	
tog	hovedtekster	MSRvid	2012 test	35	5.000	En kvinne skreller en potet.	En kvinne skreller en potet.	
tog	hovedtekster	MSRvid	2012 test	38	4.800	Gutten falt av sykkelen.	En gutt faller av sykkelen.	
tog	hovedtekster	MSRvid	2012 test	40	5.000	Kvinnen spiller på fløyte.	En kvinne spiller på fløyte.	
tog	hovedtekster	MSRvid	2012 test	42	4.200	En kanin løper fra en ørn.	En hare løper fra en ørn.	
tog	hovedtekster	MSRvid	2012 test	44	4.200	Kvinnen steker en panert pinnekjøtt.	En kvinne koker en panert pinnekjøtt.	
tog	hovedtekster	MSRvid	2012 test	46	4.000	En jente flyr en drage.	En jente som løper, flyr en drage.	
tog	hovedtekster	MSRvid	2012 test	47	4.000	En mann rir på en mekanisk okse.	En mann red på en mekanisk okse.	
tog	hovedtekster	MSRvid	2012 test	48	4.909	Mannen spiller gitar.	En mann spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	50	3.000	En kvinne danser og synger sammen med andre kvinner.	En kvinne danser og synger i regnet.	
tog	hovedtekster	MSRvid	2012 test	52	2.400	En mann skjærer en bolle.	En mann skjærer en løk.	
tog	hovedtekster	MSRvid	2012 test	53	4.200	En mann heller olje i en panne.	En mann heller olje i en panne.	
tog	hovedtekster	MSRvid	2012 test	54	3.400	En løve leker med mennesker.	En løve leker med to menn.	
tog	hovedtekster	MSRvid	2012 test	55	5.000	En hund kjører på skateboard.	En hund kjører på skateboard.	
tog	hovedtekster	MSRvid	2012 test	56	3.750	Noen skjærer ut en statue.	En mann skjærer ut en statue.	
tog	hovedtekster	MSRvid	2012 test	57	2.750	En kvinne skjærer en løk.	En mann skjærer en løk.	
tog	hovedtekster	MSRvid	2012 test	58	5.000	En kvinne skreller reker.	En kvinne skreller reker.	
tog	hovedtekster	MSRvid	2012 test	59	4.000	En kvinne steker fisk.	En kvinne koker fisk.	
tog	hovedtekster	MSRvid	2012 test	61	3.600	En kvinne spiller en elektrisk gitar.	En kvinne spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	62	1.600	En babytiger leker med en ball.	En baby leker med en dukke.	
tog	hovedtekster	MSRvid	2012 test	64	1.750	En person skjærer en tomat.	En person skjærer litt kjøtt.	
tog	hovedtekster	MSRvid	2012 test	65	5.000	En person kutter en løk.	En person skjærer en løk.	
tog	hovedtekster	MSRvid	2012 test	68	1000	En mann spiller piano.	En kvinne spiller fiolin.	
tog	hovedtekster	MSRvid	2012 test	69	1000	En kvinne spiller på fløyte.	En mann spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	70	2.375	En mann skjærer opp en potet.	En mann skjærer opp gulrøtter.	
tog	hovedtekster	MSRvid	2012 test	71	3.800	Et barn spiller gitar.	En gutt spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	72	3.200	En gutt spiller gitar.	En mann spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	73	3.200	En mann spiller gitar.	En gutt spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	75	4.400	En liten gutt spiller et keyboard.	En gutt spiller keyboard.	
tog	hovedtekster	MSRvid	2012 test	77	3.750	En mann spiller gitar.	En mann spiller en elektrisk gitar.	
tog	hovedtekster	MSRvid	2012 test	78	4.750	En hund slikker en baby.	En hund slikker en baby.	
tog	hovedtekster	MSRvid	2012 test	80	3.200	En kvinne skjærer en løk.	En mann skjærer og løk.	
tog	hovedtekster	MSRvid	2012 test	81	1.556	En mann spiller gitar.	En mann spiller trommer.	
tog	hovedtekster	MSRvid	2012 test	83	3.938	En kvinne skjærer en paprika.	En kvinne skjærer en rød paprika.	
tog	hovedtekster	MSRvid	2012 test	84	5.000	En mann spiller trommer.	En mann spiller tromme.	
tog	hovedtekster	MSRvid	2012 test	85	5.000	En kvinne rir på en hest.	En kvinne rir på en hest.	
tog	hovedtekster	MSRvid	2012 test	86	4.000	En mann spiser en banan ved et tre.	En mann spiser en banan.	
tog	hovedtekster	MSRvid	2012 test	87	1.600	En katt spiller et keyboard.	En mann spiller på to tangenter.	
tog	hovedtekster	MSRvid	2012 test	89	4.750	En mann hogger ned et tre med en øks.	En mann hogde et tre med en øks.	
tog	hovedtekster	MSRvid	2012 test	90	3.500	Et barn leker med en leketelefon.	En liten gutt leker med en leketelefon.	
tog	hovedtekster	MSRvid	2012 test	93	1.400	En mann kjører motorsykkel.	En mann rir på en hest.	
tog	hovedtekster	MSRvid	2012 test	94	1.400	En mann kjører motorsykkel.	En mann rir på en hest.	
tog	hovedtekster	MSRvid	2012 test	99	4.000	Et ekorn snurrer rundt i sirkler.	Et ekorn løper rundt i sirkler.	
tog	hovedtekster	MSRvid	2012 test	101	5.000	En mann og en kvinne kysser.	En mann og en kvinne kysser.	
tog	hovedtekster	MSRvid	2012 test	102	3.833	En mann setter seg inn i en bil.	En mann setter seg inn i en bil i en garasje.	
tog	hovedtekster	MSRvid	2012 test	104	0,600	En mann danser.	En mann snakker.	
tog	hovedtekster	MSRvid	2012 test	105	2,917	En mann spiller gitar og synger.	En mann spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	106	4.200	En person skjærer sopp.	En person skjærer sopp med en kniv.	
tog	hovedtekster	MSRvid	2012 test	108	2.000	En tigerunge lager en lyd.	En tiger går rundt.	
tog	hovedtekster	MSRvid	2012 test	109	2.600	En person skjærer løk.	En person skreller en løk.	
tog	hovedtekster	MSRvid	2012 test	110	1.600	En mann spiller piano.	En mann spiller trompet.	
tog	hovedtekster	MSRvid	2012 test	111	2.000	En kvinne skreller en potet.	En kvinne skreller et eple.	
tog	hovedtekster	MSRvid	2012 test	112	4.200	En pankda spiser bambus.	En pandabjørn spiser bambus.	
tog	hovedtekster	MSRvid	2012 test	113	2.000	En person skreller en løk.	En person skreller en aubergine.	
tog	hovedtekster	MSRvid	2012 test	114	4.800	En ape dytter en annen ape.	Apen dyttet den andre apen.	
tog	hovedtekster	MSRvid	2012 test	115	4.400	Et ekorn løper rundt i sirkler.	Et ekorn beveger seg i sirkler.	
tog	hovedtekster	MSRvid	2012 test	116	5.000	En mann knyter skoen sin.	En mann knyter skoen sin.	
tog	hovedtekster	MSRvid	2012 test	117	3.000	En gutt synger og spiller piano.	En gutt spiller piano.	
tog	hovedtekster	MSRvid	2012 test	118	4.250	En hund spiser vannmelon.	En hund spiser et stykke vannmelon.	
tog	hovedtekster	MSRvid	2012 test	119	4.250	En kvinne hakker brokkoli.	En kvinne hakker brokkoli med en kniv.	
tog	hovedtekster	MSRvid	2012 test	120	3.800	En mann skreller en potet.	En mann skrellet en potet.	
tog	hovedtekster	MSRvid	2012 test	121	2.400	En kvinne spiller gitar.	En mann spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	123	1.600	En kvinne skjærer tomater.	En mann skjærer løk.	
tog	hovedtekster	MSRvid	2012 test	125	2.000	En mann svømmer under vann.	En kvinne svømmer under vann.	
tog	hovedtekster	MSRvid	2012 test	126	1.600	En mann og en kvinne snakker sammen.	En mann og en kvinne spiser.	
tog	hovedtekster	MSRvid	2012 test	129	4.000	En liten hund jager en yogaball.	En hund jager en ball.	
tog	hovedtekster	MSRvid	2012 test	130	2.200	Mennene spiller cricket.	Mennene spiller basketball.	
tog	hovedtekster	MSRvid	2012 test	131	4.400	En mann kjører av gårde på en motorsykkel.	En mann kjører på en motorsykkel.	
tog	hovedtekster	MSRvid	2012 test	132	3.600	En mann spiller gitar.	En mann synger og spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	133	3.600	Mannen snakket i telefon.	Mannen snakker i telefonen.	
tog	hovedtekster	MSRvid	2012 test	135	0,500	En mann fisker.	En mann trener.	
tog	hovedtekster	MSRvid	2012 test	136	0,800	En mann svever.	En mann snakker.	
tog	hovedtekster	MSRvid	2012 test	138	0,600	To gutter kjører.	To bukter danser.	
tog	hovedtekster	MSRvid	2012 test	141	2.600	En mann rir på en hest.	En jente rir på en hest.	
tog	hovedtekster	MSRvid	2012 test	142	2.000	En mann sykler.	En ape sykler.	
tog	hovedtekster	MSRvid	2012 test	143	2.200	En mann skjærer poteter.	En kvinne skreller poteter.	
tog	hovedtekster	MSRvid	2012 test	144	2.400	En kvinne skreller en potet.	En mann skjærer potet.	
tog	hovedtekster	MSRvid	2012 test	145	3.600	En mann spiller gitar.	Noen spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	148	2.200	En kvinne skjærer en purre.	En kvinne skjærer ingefær.	
tog	hovedtekster	MSRvid	2012 test	149	4.800	Mannen kuttet en papirplate.	En mann skjærer en papirplate.	
tog	hovedtekster	MSRvid	2012 test	151	1.643	Mannen spiller gitar.	En mann spiller på fløyte.	
tog	hovedtekster	MSRvid	2012 test	152	1.750	En mann spiller piano.	Mannen spiller fiolin.	
tog	hovedtekster	MSRvid	2012 test	154	2.250	En kvinne skjærer opp litt kjøtt.	En kvinne panerer litt kjøtt.	
tog	hovedtekster	MSRvid	2012 test	155	4.000	En mann spiller på tastaturet sitt.	En mann spiller et keyboardpiano.	
tog	hovedtekster	MSRvid	2012 test	157	4.800	Damen hakket opp grønnløken.	Damen skar opp en grønn løk.	
tog	hovedtekster	MSRvid	2012 test	158	3.200	Noen sitter nudler i vann.	En kvinne koker nudler i vann.	
tog	hovedtekster	MSRvid	2012 test	160	4.000	Lionel Richie danser i taket.	Lionel Ritchie danser mens han står i taket.	
tog	hovedtekster	MSRvid	2012 test	161	4.400	En mann spiller piano.	En person spiller piano.	
tog	hovedtekster	MSRvid	2012 test	163	4.600	En kvinne spiller fløyte.	En kvinne spiller på en fløyte.	
tog	hovedtekster	MSRvid	2012 test	164	3.800	En gutt sjekker en kalender.	En gutt ser på en kalender.	
tog	hovedtekster	MSRvid	2012 test	165	4.800	En kvinne skjærer en løk.	En kvinne hakker løk.	
tog	hovedtekster	MSRvid	2012 test	166	4.857	En mann spiller gitar.	En mann spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	167	5.000	En kvinne bruker en symaskin.	En kvinne syr på en maskin.	
tog	hovedtekster	MSRvid	2012 test	168	2.533	En kvinne knipser pannekaker.	En tegneseriekokk knipser pannekaker.	
tog	hovedtekster	MSRvid	2012 test	172	1000	En mann løper på veien.	En bil kjører nedover veien.	
tog	hovedtekster	MSRvid	2012 test	175	1000	En mann rir på en hest.	En mann snakker i telefon.	
tog	hovedtekster	MSRvid	2012 test	176	2.000	En mann sykler.	En mann rir på en hest.	
tog	hovedtekster	MSRvid	2012 test	178	0,143	En kvinne danser.	En mann spiser.	
tog	hovedtekster	MSRvid	2012 test	179	2.000	En mann spiller piano.	En mann spiller på fløyte.	
tog	hovedtekster	MSRvid	2012 test	180	1.600	En mann spiller på fløyte.	En mann spiller piano.	
tog	hovedtekster	MSRvid	2012 test	182	1.600	En mann spinner.	En mann danser.	
tog	hovedtekster	MSRvid	2012 test	184	3.400	En ape svinger fra lem til lem.	En ape svinger seg fra tre til tre.	
tog	hovedtekster	MSRvid	2012 test	185	4.000	Folk gikk av toget.	Personene gikk av toget på stasjonen.	
tog	hovedtekster	MSRvid	2012 test	187	4.800	En hund hopper på en trampoline.	En hund spretter på en trampoline.	
tog	hovedtekster	MSRvid	2012 test	188	2.500	En gutt spiller et instrument.	En mann spiller trompet.	
tog	hovedtekster	MSRvid	2012 test	190	1.750	En kvinne spiller gitar.	En mann synger og spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	191	1000	En kvinne velger en boks.	En kvinne skjærer en tomat.	
tog	hovedtekster	MSRvid	2012 test	192	5.000	En mann klatrer i et tau.	En mann klatrer opp i et tau.	
tog	hovedtekster	MSRvid	2012 test	193	1.400	En mann løfter en bil.	En mann klatrer på en vegg.	
tog	hovedtekster	MSRvid	2012 test	195	4.000	En mann og en kvinne kjører nedover gaten i en jeep.	En mann og en kvinne kjører nedover veien i et friluftskjøretøy.	
tog	hovedtekster	MSRvid	2012 test	196	3.800	Den skjorteløse mannen satt i en stol.	En mann uten skjorte sitter på en stol.	
tog	hovedtekster	MSRvid	2012 test	198	4.000	To kvinner bryter.	To kvinner bryter på gulvet.	
tog	hovedtekster	MSRvid	2012 test	199	4.000	Valpen lekte med en blå tennisball.	En valp leker med en tennisball.	
tog	hovedtekster	MSRvid	2012 test	200	4.800	En kengro spiser noe.	En kenguru spiser.	
tog	hovedtekster	MSRvid	2012 test	201	0,600	En katt spiller piano.	En mann spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	202	4.750	Mannen kuttet et teppe med en kniv.	En mann skjærer teppe med en kniv.	
